identifier	cohort	cohort_sort	hormone	hormone_sort	unadjust
female_combination_unadjust_albumin_log	female_combination	3	albumin_log	1	1
female_combination_steroid_globulin_log	female_combination	3	steroid_globulin_log	2	0
female_combination_unadjust_steroid_globulin_log	female_combination	3	steroid_globulin_log	2	1
female_combination_testosterone_log	female_combination	3	testosterone_log	3	0
female_combination_unadjust_testosterone_log	female_combination	3	testosterone_log	3	1
female_combination_testosterone_bioavailable_log	female_combination	3	testosterone_bioavailable_log	4	0
female_combination_unadjust_testosterone_bioavailable_log	female_combination	3	testosterone_bioavailable_log	4	1
female_combination_testosterone_free_log	female_combination	3	testosterone_free_log	5	0
female_combination_unadjust_testosterone_free_log	female_combination	3	testosterone_free_log	5	1
female_combination_testosterone_imputation_log	female_combination	3	testosterone_imputation_log	6	0
female_combination_unadjust_testosterone_imputation_log	female_combination	3	testosterone_imputation_log	6	1
female_combination_oestradiol_log	female_combination	3	oestradiol_log	7	0
female_combination_unadjust_oestradiol_log	female_combination	3	oestradiol_log	7	1
female_combination_oestradiol_bioavailable_log	female_combination	3	oestradiol_bioavailable_log	8	0
female_combination_unadjust_oestradiol_bioavailable_log	female_combination	3	oestradiol_bioavailable_log	8	1
female_combination_oestradiol_free_log	female_combination	3	oestradiol_free_log	9	0
female_combination_unadjust_oestradiol_free_log	female_combination	3	oestradiol_free_log	9	1
female_combination_oestradiol_imputation_log	female_combination	3	oestradiol_imputation_log	10	0
female_combination_unadjust_oestradiol_imputation_log	female_combination	3	oestradiol_imputation_log	10	1
female_combination_vitamin_d_log	female_combination	3	vitamin_d_log	11	0
female_combination_unadjust_vitamin_d_log	female_combination	3	vitamin_d_log	11	1
female_premenopause_binary_albumin_log	female_premenopause_binary	4	albumin_log	1	0
female_premenopause_binary_unadjust_albumin_log	female_premenopause_binary	4	albumin_log	1	1
female_premenopause_binary_steroid_globulin_log	female_premenopause_binary	4	steroid_globulin_log	2	0
female_premenopause_binary_unadjust_steroid_globulin_log	female_premenopause_binary	4	steroid_globulin_log	2	1
female_premenopause_binary_testosterone_log	female_premenopause_binary	4	testosterone_log	3	0
female_premenopause_binary_unadjust_testosterone_log	female_premenopause_binary	4	testosterone_log	3	1
female_premenopause_binary_testosterone_bioavailable_log	female_premenopause_binary	4	testosterone_bioavailable_log	4	0
female_premenopause_binary_unadjust_testosterone_bioavailable_log	female_premenopause_binary	4	testosterone_bioavailable_log	4	1
female_premenopause_binary_testosterone_free_log	female_premenopause_binary	4	testosterone_free_log	5	0
female_premenopause_binary_unadjust_testosterone_free_log	female_premenopause_binary	4	testosterone_free_log	5	1
female_premenopause_binary_testosterone_imputation_log	female_premenopause_binary	4	testosterone_imputation_log	6	0
female_premenopause_binary_unadjust_testosterone_imputation_log	female_premenopause_binary	4	testosterone_imputation_log	6	1
female_premenopause_binary_oestradiol_log	female_premenopause_binary	4	oestradiol_log	7	0
female_premenopause_binary_unadjust_oestradiol_log	female_premenopause_binary	4	oestradiol_log	7	1
female_premenopause_binary_oestradiol_bioavailable_log	female_premenopause_binary	4	oestradiol_bioavailable_log	8	0
female_premenopause_binary_unadjust_oestradiol_bioavailable_log	female_premenopause_binary	4	oestradiol_bioavailable_log	8	1
female_premenopause_binary_oestradiol_free_log	female_premenopause_binary	4	oestradiol_free_log	9	0
female_premenopause_binary_unadjust_oestradiol_free_log	female_premenopause_binary	4	oestradiol_free_log	9	1
female_premenopause_binary_oestradiol_imputation_log	female_premenopause_binary	4	oestradiol_imputation_log	10	0
female_premenopause_binary_unadjust_oestradiol_imputation_log	female_premenopause_binary	4	oestradiol_imputation_log	10	1
female_premenopause_binary_vitamin_d_log	female_premenopause_binary	4	vitamin_d_log	11	0
female_premenopause_binary_unadjust_vitamin_d_log	female_premenopause_binary	4	vitamin_d_log	11	1
female_premenopause_binary_cycle_albumin_log	female_premenopause_binary_cycle	5	albumin_log	1	0
female_premenopause_binary_cycle_steroid_globulin_log	female_premenopause_binary_cycle	5	steroid_globulin_log	2	0
female_premenopause_binary_cycle_testosterone_log	female_premenopause_binary_cycle	5	testosterone_log	3	0
female_premenopause_binary_cycle_testosterone_bioavailable_log	female_premenopause_binary_cycle	5	testosterone_bioavailable_log	4	0
female_premenopause_binary_cycle_testosterone_free_log	female_premenopause_binary_cycle	5	testosterone_free_log	5	0
female_premenopause_binary_cycle_testosterone_imputation_log	female_premenopause_binary_cycle	5	testosterone_imputation_log	6	0
female_premenopause_binary_cycle_oestradiol_log	female_premenopause_binary_cycle	5	oestradiol_log	7	0
female_premenopause_binary_cycle_oestradiol_bioavailable_log	female_premenopause_binary_cycle	5	oestradiol_bioavailable_log	8	0
female_premenopause_binary_cycle_oestradiol_free_log	female_premenopause_binary_cycle	5	oestradiol_free_log	9	0
female_premenopause_binary_cycle_oestradiol_imputation_log	female_premenopause_binary_cycle	5	oestradiol_imputation_log	10	0
female_premenopause_binary_cycle_vitamin_d_log	female_premenopause_binary_cycle	5	vitamin_d_log	11	0
female_postmenopause_binary_albumin_log	female_postmenopause_binary	6	albumin_log	1	0
female_postmenopause_binary_unadjust_albumin_log	female_postmenopause_binary	6	albumin_log	1	1
female_postmenopause_binary_steroid_globulin_log	female_postmenopause_binary	6	steroid_globulin_log	2	0
female_postmenopause_binary_unadjust_steroid_globulin_log	female_postmenopause_binary	6	steroid_globulin_log	2	1
female_postmenopause_binary_testosterone_log	female_postmenopause_binary	6	testosterone_log	3	0
female_postmenopause_binary_unadjust_testosterone_log	female_postmenopause_binary	6	testosterone_log	3	1
female_postmenopause_binary_testosterone_bioavailable_log	female_postmenopause_binary	6	testosterone_bioavailable_log	4	0
female_postmenopause_binary_unadjust_testosterone_bioavailable_log	female_postmenopause_binary	6	testosterone_bioavailable_log	4	1
female_postmenopause_binary_testosterone_free_log	female_postmenopause_binary	6	testosterone_free_log	5	0
female_postmenopause_binary_unadjust_testosterone_free_log	female_postmenopause_binary	6	testosterone_free_log	5	1
female_postmenopause_binary_testosterone_imputation_log	female_postmenopause_binary	6	testosterone_imputation_log	6	0
female_postmenopause_binary_unadjust_testosterone_imputation_log	female_postmenopause_binary	6	testosterone_imputation_log	6	1
female_postmenopause_binary_oestradiol_log	female_postmenopause_binary	6	oestradiol_log	7	0
female_postmenopause_binary_unadjust_oestradiol_log	female_postmenopause_binary	6	oestradiol_log	7	1
female_postmenopause_binary_oestradiol_bioavailable_log	female_postmenopause_binary	6	oestradiol_bioavailable_log	8	0
female_postmenopause_binary_unadjust_oestradiol_bioavailable_log	female_postmenopause_binary	6	oestradiol_bioavailable_log	8	1
female_postmenopause_binary_oestradiol_free_log	female_postmenopause_binary	6	oestradiol_free_log	9	0
female_postmenopause_binary_unadjust_oestradiol_free_log	female_postmenopause_binary	6	oestradiol_free_log	9	1
female_postmenopause_binary_oestradiol_imputation_log	female_postmenopause_binary	6	oestradiol_imputation_log	10	0
female_postmenopause_binary_unadjust_oestradiol_imputation_log	female_postmenopause_binary	6	oestradiol_imputation_log	10	1
female_postmenopause_binary_vitamin_d_log	female_postmenopause_binary	6	vitamin_d_log	11	0
female_postmenopause_binary_unadjust_vitamin_d_log	female_postmenopause_binary	6	vitamin_d_log	11	1
female_premenopause_ordinal_albumin_log	female_premenopause_ordinal	7	albumin_log	1	0
female_premenopause_ordinal_unadjust_albumin_log	female_premenopause_ordinal	7	albumin_log	1	1
female_premenopause_ordinal_steroid_globulin_log	female_premenopause_ordinal	7	steroid_globulin_log	2	0
female_premenopause_ordinal_unadjust_steroid_globulin_log	female_premenopause_ordinal	7	steroid_globulin_log	2	1
female_premenopause_ordinal_testosterone_log	female_premenopause_ordinal	7	testosterone_log	3	0
female_premenopause_ordinal_unadjust_testosterone_log	female_premenopause_ordinal	7	testosterone_log	3	1
female_premenopause_ordinal_testosterone_bioavailable_log	female_premenopause_ordinal	7	testosterone_bioavailable_log	4	0
female_premenopause_ordinal_unadjust_testosterone_bioavailable_log	female_premenopause_ordinal	7	testosterone_bioavailable_log	4	1
female_premenopause_ordinal_testosterone_free_log	female_premenopause_ordinal	7	testosterone_free_log	5	0
female_premenopause_ordinal_unadjust_testosterone_free_log	female_premenopause_ordinal	7	testosterone_free_log	5	1
female_premenopause_ordinal_testosterone_imputation_log	female_premenopause_ordinal	7	testosterone_imputation_log	6	0
female_premenopause_ordinal_unadjust_testosterone_imputation_log	female_premenopause_ordinal	7	testosterone_imputation_log	6	1
female_premenopause_ordinal_oestradiol_log	female_premenopause_ordinal	7	oestradiol_log	7	0
female_premenopause_ordinal_unadjust_oestradiol_log	female_premenopause_ordinal	7	oestradiol_log	7	1
female_premenopause_ordinal_oestradiol_bioavailable_log	female_premenopause_ordinal	7	oestradiol_bioavailable_log	8	0
female_premenopause_ordinal_unadjust_oestradiol_bioavailable_log	female_premenopause_ordinal	7	oestradiol_bioavailable_log	8	1
female_premenopause_ordinal_oestradiol_free_log	female_premenopause_ordinal	7	oestradiol_free_log	9	0
female_premenopause_ordinal_unadjust_oestradiol_free_log	female_premenopause_ordinal	7	oestradiol_free_log	9	1
female_premenopause_ordinal_oestradiol_imputation_log	female_premenopause_ordinal	7	oestradiol_imputation_log	10	0
female_premenopause_ordinal_unadjust_oestradiol_imputation_log	female_premenopause_ordinal	7	oestradiol_imputation_log	10	1
female_premenopause_ordinal_vitamin_d_log	female_premenopause_ordinal	7	vitamin_d_log	11	0
female_premenopause_ordinal_unadjust_vitamin_d_log	female_premenopause_ordinal	7	vitamin_d_log	11	1
female_premenopause_ordinal_cycle_albumin_log	female_premenopause_ordinal_cycle	8	albumin_log	1	0
female_premenopause_ordinal_cycle_steroid_globulin_log	female_premenopause_ordinal_cycle	8	steroid_globulin_log	2	0
female_premenopause_ordinal_cycle_testosterone_log	female_premenopause_ordinal_cycle	8	testosterone_log	3	0
female_premenopause_ordinal_cycle_testosterone_bioavailable_log	female_premenopause_ordinal_cycle	8	testosterone_bioavailable_log	4	0
female_premenopause_ordinal_cycle_testosterone_free_log	female_premenopause_ordinal_cycle	8	testosterone_free_log	5	0
female_premenopause_ordinal_cycle_testosterone_imputation_log	female_premenopause_ordinal_cycle	8	testosterone_imputation_log	6	0
female_premenopause_ordinal_cycle_oestradiol_log	female_premenopause_ordinal_cycle	8	oestradiol_log	7	0
female_premenopause_ordinal_cycle_oestradiol_bioavailable_log	female_premenopause_ordinal_cycle	8	oestradiol_bioavailable_log	8	0
female_premenopause_ordinal_cycle_oestradiol_free_log	female_premenopause_ordinal_cycle	8	oestradiol_free_log	9	0
female_premenopause_ordinal_cycle_oestradiol_imputation_log	female_premenopause_ordinal_cycle	8	oestradiol_imputation_log	10	0
female_premenopause_ordinal_cycle_vitamin_d_log	female_premenopause_ordinal_cycle	8	vitamin_d_log	11	0
female_perimenopause_ordinal_albumin_log	female_perimenopause_ordinal	9	albumin_log	1	0
female_perimenopause_ordinal_unadjust_albumin_log	female_perimenopause_ordinal	9	albumin_log	1	1
female_perimenopause_ordinal_steroid_globulin_log	female_perimenopause_ordinal	9	steroid_globulin_log	2	0
female_perimenopause_ordinal_unadjust_steroid_globulin_log	female_perimenopause_ordinal	9	steroid_globulin_log	2	1
female_perimenopause_ordinal_testosterone_log	female_perimenopause_ordinal	9	testosterone_log	3	0
female_perimenopause_ordinal_unadjust_testosterone_log	female_perimenopause_ordinal	9	testosterone_log	3	1
female_perimenopause_ordinal_testosterone_bioavailable_log	female_perimenopause_ordinal	9	testosterone_bioavailable_log	4	0
female_perimenopause_ordinal_unadjust_testosterone_bioavailable_log	female_perimenopause_ordinal	9	testosterone_bioavailable_log	4	1
female_perimenopause_ordinal_testosterone_free_log	female_perimenopause_ordinal	9	testosterone_free_log	5	0
female_perimenopause_ordinal_unadjust_testosterone_free_log	female_perimenopause_ordinal	9	testosterone_free_log	5	1
female_perimenopause_ordinal_testosterone_imputation_log	female_perimenopause_ordinal	9	testosterone_imputation_log	6	0
female_perimenopause_ordinal_unadjust_testosterone_imputation_log	female_perimenopause_ordinal	9	testosterone_imputation_log	6	1
female_perimenopause_ordinal_oestradiol_log	female_perimenopause_ordinal	9	oestradiol_log	7	0
female_perimenopause_ordinal_unadjust_oestradiol_log	female_perimenopause_ordinal	9	oestradiol_log	7	1
female_perimenopause_ordinal_oestradiol_bioavailable_log	female_perimenopause_ordinal	9	oestradiol_bioavailable_log	8	0
female_perimenopause_ordinal_unadjust_oestradiol_bioavailable_log	female_perimenopause_ordinal	9	oestradiol_bioavailable_log	8	1
female_perimenopause_ordinal_oestradiol_free_log	female_perimenopause_ordinal	9	oestradiol_free_log	9	0
female_perimenopause_ordinal_unadjust_oestradiol_free_log	female_perimenopause_ordinal	9	oestradiol_free_log	9	1
female_perimenopause_ordinal_oestradiol_imputation_log	female_perimenopause_ordinal	9	oestradiol_imputation_log	10	0
female_perimenopause_ordinal_unadjust_oestradiol_imputation_log	female_perimenopause_ordinal	9	oestradiol_imputation_log	10	1
female_perimenopause_ordinal_vitamin_d_log	female_perimenopause_ordinal	9	vitamin_d_log	11	0
female_perimenopause_ordinal_unadjust_vitamin_d_log	female_perimenopause_ordinal	9	vitamin_d_log	11	1
female_perimenopause_ordinal_cycle_albumin_log	female_perimenopause_ordinal_cycle	10	albumin_log	1	0
female_perimenopause_ordinal_cycle_steroid_globulin_log	female_perimenopause_ordinal_cycle	10	steroid_globulin_log	2	0
female_perimenopause_ordinal_cycle_testosterone_log	female_perimenopause_ordinal_cycle	10	testosterone_log	3	0
female_perimenopause_ordinal_cycle_testosterone_bioavailable_log	female_perimenopause_ordinal_cycle	10	testosterone_bioavailable_log	4	0
female_perimenopause_ordinal_cycle_testosterone_free_log	female_perimenopause_ordinal_cycle	10	testosterone_free_log	5	0
female_perimenopause_ordinal_cycle_testosterone_imputation_log	female_perimenopause_ordinal_cycle	10	testosterone_imputation_log	6	0
female_perimenopause_ordinal_cycle_oestradiol_log	female_perimenopause_ordinal_cycle	10	oestradiol_log	7	0
female_perimenopause_ordinal_cycle_oestradiol_bioavailable_log	female_perimenopause_ordinal_cycle	10	oestradiol_bioavailable_log	8	0
female_perimenopause_ordinal_cycle_oestradiol_free_log	female_perimenopause_ordinal_cycle	10	oestradiol_free_log	9	0
female_perimenopause_ordinal_cycle_oestradiol_imputation_log	female_perimenopause_ordinal_cycle	10	oestradiol_imputation_log	10	0
female_perimenopause_ordinal_cycle_vitamin_d_log	female_perimenopause_ordinal_cycle	10	vitamin_d_log	11	0
female_postmenopause_ordinal_albumin_log	female_postmenopause_ordinal	11	albumin_log	1	0
female_postmenopause_ordinal_unadjust_albumin_log	female_postmenopause_ordinal	11	albumin_log	1	1
female_postmenopause_ordinal_steroid_globulin_log	female_postmenopause_ordinal	11	steroid_globulin_log	2	0
female_postmenopause_ordinal_unadjust_steroid_globulin_log	female_postmenopause_ordinal	11	steroid_globulin_log	2	1
female_postmenopause_ordinal_testosterone_log	female_postmenopause_ordinal	11	testosterone_log	3	0
female_postmenopause_ordinal_unadjust_testosterone_log	female_postmenopause_ordinal	11	testosterone_log	3	1
female_postmenopause_ordinal_testosterone_bioavailable_log	female_postmenopause_ordinal	11	testosterone_bioavailable_log	4	0
female_postmenopause_ordinal_unadjust_testosterone_bioavailable_log	female_postmenopause_ordinal	11	testosterone_bioavailable_log	4	1
female_postmenopause_ordinal_testosterone_free_log	female_postmenopause_ordinal	11	testosterone_free_log	5	0
female_postmenopause_ordinal_unadjust_testosterone_free_log	female_postmenopause_ordinal	11	testosterone_free_log	5	1
female_postmenopause_ordinal_testosterone_imputation_log	female_postmenopause_ordinal	11	testosterone_imputation_log	6	0
female_postmenopause_ordinal_unadjust_testosterone_imputation_log	female_postmenopause_ordinal	11	testosterone_imputation_log	6	1
female_postmenopause_ordinal_oestradiol_log	female_postmenopause_ordinal	11	oestradiol_log	7	0
female_postmenopause_ordinal_unadjust_oestradiol_log	female_postmenopause_ordinal	11	oestradiol_log	7	1
female_postmenopause_ordinal_oestradiol_bioavailable_log	female_postmenopause_ordinal	11	oestradiol_bioavailable_log	8	0
female_postmenopause_ordinal_unadjust_oestradiol_bioavailable_log	female_postmenopause_ordinal	11	oestradiol_bioavailable_log	8	1
female_postmenopause_ordinal_oestradiol_free_log	female_postmenopause_ordinal	11	oestradiol_free_log	9	0
female_postmenopause_ordinal_unadjust_oestradiol_free_log	female_postmenopause_ordinal	11	oestradiol_free_log	9	1
female_postmenopause_ordinal_oestradiol_imputation_log	female_postmenopause_ordinal	11	oestradiol_imputation_log	10	0
female_postmenopause_ordinal_unadjust_oestradiol_imputation_log	female_postmenopause_ordinal	11	oestradiol_imputation_log	10	1
female_postmenopause_ordinal_vitamin_d_log	female_postmenopause_ordinal	11	vitamin_d_log	11	0
female_postmenopause_ordinal_unadjust_vitamin_d_log	female_postmenopause_ordinal	11	vitamin_d_log	11	1
male_albumin_log	male	12	albumin_log	1	0
male_unadjust_albumin_log	male	12	albumin_log	1	1
male_steroid_globulin_log	male	12	steroid_globulin_log	2	0
male_unadjust_steroid_globulin_log	male	12	steroid_globulin_log	2	1
male_testosterone_log	male	12	testosterone_log	3	0
male_unadjust_testosterone_log	male	12	testosterone_log	3	1
male_testosterone_bioavailable_log	male	12	testosterone_bioavailable_log	4	0
male_unadjust_testosterone_bioavailable_log	male	12	testosterone_bioavailable_log	4	1
male_testosterone_free_log	male	12	testosterone_free_log	5	0
male_unadjust_testosterone_free_log	male	12	testosterone_free_log	5	1
male_testosterone_imputation_log	male	12	testosterone_imputation_log	6	0
male_unadjust_testosterone_imputation_log	male	12	testosterone_imputation_log	6	1
male_oestradiol_log	male	12	oestradiol_log	7	0
male_unadjust_oestradiol_log	male	12	oestradiol_log	7	1
male_oestradiol_bioavailable_log	male	12	oestradiol_bioavailable_log	8	0
male_unadjust_oestradiol_bioavailable_log	male	12	oestradiol_bioavailable_log	8	1
male_oestradiol_free_log	male	12	oestradiol_free_log	9	0
male_unadjust_oestradiol_free_log	male	12	oestradiol_free_log	9	1
male_oestradiol_imputation_log	male	12	oestradiol_imputation_log	10	0
male_unadjust_oestradiol_imputation_log	male	12	oestradiol_imputation_log	10	1
male_vitamin_d_log	male	12	vitamin_d_log	11	0
male_unadjust_vitamin_d_log	male	12	vitamin_d_log	11	1
male_young_albumin_log	male_young	13	albumin_log	1	0
male_young_unadjust_albumin_log	male_young	13	albumin_log	1	1
male_young_steroid_globulin_log	male_young	13	steroid_globulin_log	2	0
male_young_unadjust_steroid_globulin_log	male_young	13	steroid_globulin_log	2	1
male_young_testosterone_log	male_young	13	testosterone_log	3	0
male_young_unadjust_testosterone_log	male_young	13	testosterone_log	3	1
male_young_testosterone_bioavailable_log	male_young	13	testosterone_bioavailable_log	4	0
male_young_unadjust_testosterone_bioavailable_log	male_young	13	testosterone_bioavailable_log	4	1
male_young_testosterone_free_log	male_young	13	testosterone_free_log	5	0
male_young_unadjust_testosterone_free_log	male_young	13	testosterone_free_log	5	1
male_young_testosterone_imputation_log	male_young	13	testosterone_imputation_log	6	0
male_young_unadjust_testosterone_imputation_log	male_young	13	testosterone_imputation_log	6	1
male_young_oestradiol_log	male_young	13	oestradiol_log	7	0
male_young_unadjust_oestradiol_log	male_young	13	oestradiol_log	7	1
male_young_oestradiol_bioavailable_log	male_young	13	oestradiol_bioavailable_log	8	0
male_young_unadjust_oestradiol_bioavailable_log	male_young	13	oestradiol_bioavailable_log	8	1
male_young_oestradiol_free_log	male_young	13	oestradiol_free_log	9	0
male_young_unadjust_oestradiol_free_log	male_young	13	oestradiol_free_log	9	1
male_young_oestradiol_imputation_log	male_young	13	oestradiol_imputation_log	10	0
male_young_unadjust_oestradiol_imputation_log	male_young	13	oestradiol_imputation_log	10	1
male_young_vitamin_d_log	male_young	13	vitamin_d_log	11	0
male_young_unadjust_vitamin_d_log	male_young	13	vitamin_d_log	11	1
male_old_albumin_log	male_old	14	albumin_log	1	0
male_old_unadjust_albumin_log	male_old	14	albumin_log	1	1
male_old_steroid_globulin_log	male_old	14	steroid_globulin_log	2	0
male_old_unadjust_steroid_globulin_log	male_old	14	steroid_globulin_log	2	1
male_old_testosterone_log	male_old	14	testosterone_log	3	0
male_old_unadjust_testosterone_log	male_old	14	testosterone_log	3	1
male_old_testosterone_bioavailable_log	male_old	14	testosterone_bioavailable_log	4	0
male_old_unadjust_testosterone_bioavailable_log	male_old	14	testosterone_bioavailable_log	4	1
male_old_testosterone_free_log	male_old	14	testosterone_free_log	5	0
male_old_unadjust_testosterone_free_log	male_old	14	testosterone_free_log	5	1
male_old_testosterone_imputation_log	male_old	14	testosterone_imputation_log	6	0
male_old_unadjust_testosterone_imputation_log	male_old	14	testosterone_imputation_log	6	1
male_old_oestradiol_log	male_old	14	oestradiol_log	7	0
male_old_unadjust_oestradiol_log	male_old	14	oestradiol_log	7	1
male_old_oestradiol_bioavailable_log	male_old	14	oestradiol_bioavailable_log	8	0
male_old_unadjust_oestradiol_bioavailable_log	male_old	14	oestradiol_bioavailable_log	8	1
male_old_oestradiol_free_log	male_old	14	oestradiol_free_log	9	0
male_old_unadjust_oestradiol_free_log	male_old	14	oestradiol_free_log	9	1
male_old_oestradiol_imputation_log	male_old	14	oestradiol_imputation_log	10	0
male_old_unadjust_oestradiol_imputation_log	male_old	14	oestradiol_imputation_log	10	1
male_old_vitamin_d_log	male_old	14	vitamin_d_log	11	0
male_old_unadjust_vitamin_d_log	male_old	14	vitamin_d_log	11	1
